date,resolution_minutes,SEK_per_kWh,EUR_per_kWh,EXR,price_area
2021-10-31 23:00:00+00:00,60,0.13777,0.01394,9.88308,SE3
2021-11-01 00:00:00+00:00,60,0.12976,0.01313,9.88308,SE3
2021-11-01 01:00:00+00:00,60,0.13026,0.01318,9.88308,SE3
2021-11-01 02:00:00+00:00,60,0.13836,0.014,9.88308,SE3
2021-11-01 03:00:00+00:00,60,0.14281,0.01445,9.88308,SE3
2021-11-01 04:00:00+00:00,60,0.16495,0.01669,9.88308,SE3
2021-11-01 05:00:00+00:00,60,0.19737,0.01997,9.88308,SE3
2021-11-01 06:00:00+00:00,60,0.7442,0.0753,9.88308,SE3
2021-11-01 07:00:00+00:00,60,0.85232,0.08624,9.88308,SE3
2021-11-01 08:00:00+00:00,60,0.82128,0.0831,9.88308,SE3
2021-11-01 09:00:00+00:00,60,0.79252,0.08019,9.88308,SE3
2021-11-01 10:00:00+00:00,60,0.74924,0.07581,9.88308,SE3
2021-11-01 11:00:00+00:00,60,0.75556,0.07645,9.88308,SE3
2021-11-01 12:00:00+00:00,60,0.77058,0.07797,9.88308,SE3
2021-11-01 13:00:00+00:00,60,0.77987,0.07891,9.88308,SE3
2021-11-01 14:00:00+00:00,60,0.83275,0.08426,9.88308,SE3
2021-11-01 15:00:00+00:00,60,0.83868,0.08486,9.88308,SE3
2021-11-01 16:00:00+00:00,60,0.90065,0.09113,9.88308,SE3
2021-11-01 17:00:00+00:00,60,0.8879,0.08984,9.88308,SE3
2021-11-01 18:00:00+00:00,60,0.80804,0.08176,9.88308,SE3
2021-11-01 19:00:00+00:00,60,0.18086,0.0183,9.88308,SE3
2021-11-01 20:00:00+00:00,60,0.13777,0.01394,9.88308,SE3
2021-11-01 21:00:00+00:00,60,0.12482,0.01263,9.88308,SE3
2021-11-01 22:00:00+00:00,60,0.10624,0.01075,9.88308,SE3
2021-11-01 23:00:00+00:00,60,0.06581,0.00663,9.926588,SE3
2021-11-02 00:00:00+00:00,60,0.03623,0.00365,9.926588,SE3
2021-11-02 01:00:00+00:00,60,0.04149,0.00418,9.926588,SE3
2021-11-02 02:00:00+00:00,60,0.03405,0.00343,9.926588,SE3
2021-11-02 03:00:00+00:00,60,0.07713,0.00777,9.926588,SE3
2021-11-02 04:00:00+00:00,60,0.12924,0.01302,9.926588,SE3
2021-11-02 05:00:00+00:00,60,0.87185,0.08783,9.926588,SE3
2021-11-02 06:00:00+00:00,60,0.90481,0.09115,9.926588,SE3
2021-11-02 07:00:00+00:00,60,0.94511,0.09521,9.926588,SE3
2021-11-02 08:00:00+00:00,60,0.91474,0.09215,9.926588,SE3
2021-11-02 09:00:00+00:00,60,0.9194,0.09262,9.926588,SE3
2021-11-02 10:00:00+00:00,60,0.92119,0.0928,9.926588,SE3
2021-11-02 11:00:00+00:00,60,0.94253,0.09495,9.926588,SE3
2021-11-02 12:00:00+00:00,60,0.96566,0.09728,9.926588,SE3
2021-11-02 13:00:00+00:00,60,0.9602,0.09673,9.926588,SE3
2021-11-02 14:00:00+00:00,60,0.96963,0.09768,9.926588,SE3
2021-11-02 15:00:00+00:00,60,0.98402,0.09913,9.926588,SE3
2021-11-02 16:00:00+00:00,60,0.98005,0.09873,9.926588,SE3
2021-11-02 17:00:00+00:00,60,0.96208,0.09692,9.926588,SE3
2021-11-02 18:00:00+00:00,60,0.90243,0.09091,9.926588,SE3
2021-11-02 19:00:00+00:00,60,0.87414,0.08806,9.926588,SE3
2021-11-02 20:00:00+00:00,60,0.81368,0.08197,9.926588,SE3
2021-11-02 21:00:00+00:00,60,0.19009,0.01915,9.926588,SE3
2021-11-02 22:00:00+00:00,60,0.1485,0.01496,9.926588,SE3
2021-11-02 23:00:00+00:00,60,0.15802,0.01595,9.906976,SE3
2021-11-03 00:00:00+00:00,60,0.15425,0.01557,9.906976,SE3
2021-11-03 01:00:00+00:00,60,0.14821,0.01496,9.906976,SE3
2021-11-03 02:00:00+00:00,60,0.15098,0.01524,9.906976,SE3
2021-11-03 03:00:00+00:00,60,0.15643,0.01579,9.906976,SE3
2021-11-03 04:00:00+00:00,60,0.17169,0.01733,9.906976,SE3
2021-11-03 05:00:00+00:00,60,0.80425,0.08118,9.906976,SE3
2021-11-03 06:00:00+00:00,60,0.98366,0.09929,9.906976,SE3
2021-11-03 07:00:00+00:00,60,1.04519,0.1055,9.906976,SE3
2021-11-03 08:00:00+00:00,60,0.9907,0.1,9.906976,SE3
2021-11-03 09:00:00+00:00,60,0.9903,0.09996,9.906976,SE3
2021-11-03 10:00:00+00:00,60,0.97594,0.09851,9.906976,SE3
2021-11-03 11:00:00+00:00,60,0.97861,0.09878,9.906976,SE3
2021-11-03 12:00:00+00:00,60,1.00467,0.10141,9.906976,SE3
2021-11-03 13:00:00+00:00,60,1.00516,0.10146,9.906976,SE3
2021-11-03 14:00:00+00:00,60,1.01695,0.10265,9.906976,SE3
2021-11-03 15:00:00+00:00,60,1.0758,0.10859,9.906976,SE3
2021-11-03 16:00:00+00:00,60,1.18299,0.11941,9.906976,SE3
2021-11-03 17:00:00+00:00,60,1.18151,0.11926,9.906976,SE3
2021-11-03 18:00:00+00:00,60,1.03052,0.10402,9.906976,SE3
2021-11-03 19:00:00+00:00,60,0.94661,0.09555,9.906976,SE3
2021-11-03 20:00:00+00:00,60,0.61512,0.06209,9.906976,SE3
2021-11-03 21:00:00+00:00,60,0.21409,0.02161,9.906976,SE3
2021-11-03 22:00:00+00:00,60,0.19566,0.01975,9.906976,SE3
2021-11-03 23:00:00+00:00,60,0.19297,0.01945,9.921275,SE3
2021-11-04 00:00:00+00:00,60,0.18255,0.0184,9.921275,SE3
2021-11-04 01:00:00+00:00,60,0.17878,0.01802,9.921275,SE3
2021-11-04 02:00:00+00:00,60,0.18592,0.01874,9.921275,SE3
2021-11-04 03:00:00+00:00,60,0.19753,0.01991,9.921275,SE3
2021-11-04 04:00:00+00:00,60,0.3524,0.03552,9.921275,SE3
2021-11-04 05:00:00+00:00,60,1.02804,0.10362,9.921275,SE3
2021-11-04 06:00:00+00:00,60,1.1844,0.11938,9.921275,SE3
2021-11-04 07:00:00+00:00,60,1.23212,0.12419,9.921275,SE3
2021-11-04 08:00:00+00:00,60,1.23232,0.12421,9.921275,SE3
2021-11-04 09:00:00+00:00,60,1.1971,0.12066,9.921275,SE3
2021-11-04 10:00:00+00:00,60,1.11585,0.11247,9.921275,SE3
2021-11-04 11:00:00+00:00,60,1.0712,0.10797,9.921275,SE3
2021-11-04 12:00:00+00:00,60,1.06922,0.10777,9.921275,SE3
2021-11-04 13:00:00+00:00,60,1.1091,0.11179,9.921275,SE3
2021-11-04 14:00:00+00:00,60,1.19879,0.12083,9.921275,SE3
2021-11-04 15:00:00+00:00,60,1.23847,0.12483,9.921275,SE3
2021-11-04 16:00:00+00:00,60,1.16287,0.11721,9.921275,SE3
2021-11-04 17:00:00+00:00,60,1.01485,0.10229,9.921275,SE3
2021-11-04 18:00:00+00:00,60,0.8567,0.08635,9.921275,SE3
2021-11-04 19:00:00+00:00,60,0.83061,0.08372,9.921275,SE3
2021-11-04 20:00:00+00:00,60,0.30438,0.03068,9.921275,SE3
2021-11-04 21:00:00+00:00,60,0.18672,0.01882,9.921275,SE3
2021-11-04 23:00:00+00:00,60,0.16408,0.01616,10.153631,SE3
2021-11-05 00:00:00+00:00,60,0.1518,0.01495,10.153631,SE3
2021-11-05 01:00:00+00:00,60,0.14906,0.01468,10.153631,SE3
2021-11-05 02:00:00+00:00,60,0.15129,0.0149,10.153631,SE3
2021-11-05 03:00:00+00:00,60,0.15474,0.01524,10.153631,SE3
2021-11-05 04:00:00+00:00,60,0.19109,0.01882,10.153631,SE3
2021-11-05 05:00:00+00:00,60,0.74457,0.07333,10.153631,SE3
2021-11-05 06:00:00+00:00,60,1.0175,0.10021,10.153631,SE3
2021-11-05 07:00:00+00:00,60,1.03983,0.10241,10.153631,SE3
2021-11-05 08:00:00+00:00,60,1.02074,0.10053,10.153631,SE3
2021-11-05 09:00:00+00:00,60,0.98744,0.09725,10.153631,SE3
2021-11-05 10:00:00+00:00,60,0.94561,0.09313,10.153631,SE3
2021-11-05 11:00:00+00:00,60,0.88895,0.08755,10.153631,SE3
2021-11-05 12:00:00+00:00,60,0.86519,0.08521,10.153631,SE3
2021-11-05 13:00:00+00:00,60,0.84316,0.08304,10.153631,SE3
2021-11-05 14:00:00+00:00,60,0.86885,0.08557,10.153631,SE3
2021-11-05 15:00:00+00:00,60,0.89261,0.08791,10.153631,SE3
2021-11-05 16:00:00+00:00,60,0.92246,0.09085,10.153631,SE3
2021-11-05 17:00:00+00:00,60,0.89951,0.08859,10.153631,SE3
